ticker,sector,market_type,is_tradable
ASV,Unknown,NON_TRADABLE,0
ASX,Unknown,NYSE,1
ASXC,Unknown,NON_TRADABLE,0
ASYS,Industrials,NASDAQ,1
AT,Unknown,NON_TRADABLE,0
ATACU,Unknown,NON_TRADABLE,0
ATAI,Health Care,NASDAQ,1
ATAX,Unknown,NON_TRADABLE,0
ATAXZ,Unknown,NON_TRADABLE,0
ATCX,Unknown,NASDAQ,1
ATEA,Unknown,NON_TRADABLE,0
ATEC,Health Care,NASDAQ,1
ATEN,Industrials,NON_TRADABLE,0
ATER,Information Technology,NASDAQ,1
ATEX,Communication Services,NASDAQ,1
ATGE,Unknown,NON_TRADABLE,0
ATH,Unknown,NON_TRADABLE,0
ATHA,Unknown,NON_TRADABLE,0
ATHL,Unknown,NON_TRADABLE,0
ATHN,Unknown,NON_TRADABLE,0
ATHX,Unknown,NON_TRADABLE,0
ATI,Materials,NYSE,1
ATIP,Unknown,NON_TRADABLE,0
ATKR,Information Technology,NON_TRADABLE,0
ATLC,Financials,NASDAQ,1
ATLN,Consumer Discretionary,NASDAQ,1
ATLO,Financials,NASDAQ,1
ATLS,Unknown,NON_TRADABLE,0
ATMR,Unknown,NON_TRADABLE,0
ATMU,Consumer Discretionary,NYSE,1
ATNF,Unknown,NON_TRADABLE,0
ATNI,Communication Services,NASDAQ,1
ATNM,Health Care,NON_TRADABLE,0
ATNX,Unknown,NON_TRADABLE,0
ATNY,Unknown,NON_TRADABLE,0
ATO,Utilities,NYSE,1
ATOM,Information Technology,NASDAQ,1
ATOS,Health Care,NASDAQ,1
ATR,Materials,NYSE,1
ATRA,Health Care,NASDAQ,1
ATRC,Health Care,NASDAQ,1
ATRI,Unknown,NON_TRADABLE,0
ATRM,Unknown,NON_TRADABLE,0
ATRO,Industrials,NASDAQ,1
ATRS,Unknown,NON_TRADABLE,0
ATSG,Unknown,NON_TRADABLE,0
ATU,Unknown,NON_TRADABLE,0
ATUS,Unknown,NON_TRADABLE,0
ATVI,Unknown,NON_TRADABLE,0
ATW,Unknown,NON_TRADABLE,0
ATXG,Consumer Discretionary,NASDAQ,1
