strategy,pred_threshold,vol_q,lr_q,val_objective,test_objective,test_return_pct,test_max_dd_pct,test_sortino,test_n_trades
vol_cap,0.7,0.9,,1346.1163543205118,500.4005174605228,505.81000308522937,-10.818971249413101,0.5639243564426611,424
vol_and_lossrate_cap,0.7,0.9,0.7,557.4462751317761,292.3336096982275,299.99378764333943,-15.320355890223869,0.4558095183113575,366
vol_and_lossrate_cap,0.7,0.9,0.8,710.5155875439561,343.1665564203274,348.00143980059096,-9.669766760527022,0.500921827936272,391
vol_and_lossrate_cap,0.7,0.9,0.9,984.6359981119471,477.73837326367726,482.29484317826564,-9.112939829176735,0.5410298022780287,412
lossrate_cap,0.7,,0.7,1979.7737579356794,674.6179720000144,681.5066698698871,-13.777395739745401,0.5531322197732457,447
lossrate_cap,0.7,,0.8,2449.817682325481,881.5184138751865,886.5670985107162,-10.097369271059353,0.5780383471569218,471
lossrate_cap,0.7,,0.9,3113.8610608115196,1002.9726169361626,1009.3994146248874,-12.853595377449656,0.6262294885510667,482
baseline,0.75,,,4979.522478896058,1141.903516382132,1148.573419943083,-13.339807121902103,0.662477338910721,477
vol_cap,0.75,0.7,,414.9438683087561,209.5949140899583,214.02550856625845,-8.861188952600262,0.4304050460443643,322
vol_and_lossrate_cap,0.75,0.7,0.7,231.69737967844426,139.91325975256197,148.54595679886748,-17.265394092611018,0.4484933439095265,277
vol_and_lossrate_cap,0.75,0.7,0.8,268.2043983031797,140.84910519721802,146.22729461207183,-10.756378829707614,0.41996456958159717,299
vol_and_lossrate_cap,0.75,0.7,0.9,336.56516488026375,165.2542911499952,169.79072258970996,-9.072862879429533,0.4447789357286545,317
vol_cap,0.75,0.8,,897.9941545440064,318.2672299991433,323.6767156238499,-10.818971249413112,0.5532053840380362,365
vol_and_lossrate_cap,0.75,0.8,0.7,433.52978504299426,195.35948429836918,204.0435023743387,-17.36803615193899,0.4807002154533157,319
vol_and_lossrate_cap,0.75,0.8,0.8,523.6474627208872,212.48012733180823,217.92192354947827,-10.88359243534004,0.47817776066093454,340
vol_and_lossrate_cap,0.75,0.8,0.9,681.8277866881442,239.53415358983565,244.6827883464639,-10.297269513256468,0.5115572327673935,354
vol_cap,0.75,0.9,,1022.5295225740333,501.34596163704316,506.75544726174974,-10.818971249413112,0.5557635732982081,390
vol_and_lossrate_cap,0.75,0.9,0.7,510.58815400227655,252.67889103558545,260.41364393283067,-15.469505794490457,0.46616567871237735,335
vol_and_lossrate_cap,0.75,0.9,0.8,609.9060703644492,256.14103214310774,261.84612407892274,-11.410183871630009,0.46062464717452234,362
vol_and_lossrate_cap,0.75,0.9,0.9,792.9176792009829,368.4807268208806,373.16021330670725,-9.35897297165329,0.5112784225472825,377
